sha16	type	stage	note
4f7bf992e79af6d1	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
4f88989442ca8c5c	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
4fddb936543f468d	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
507785db3f800547	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
50924961b82eeddc	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
50b2fe971f401878	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
51582fd7013edef7	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
51bf1909ae655478	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
51e1e42fc7f7d384	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
525adf0f3ca7ad8e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
5268886e3cec2324	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
537811f9bfccef53	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
53d10fe3ffdcebc2	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
54ac1fd03850e232	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
559f8e0fa65ef9ea	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
55ba5270948004b2	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
55c2d7df81e23e4e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
5690681ca87cbfc8	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
56ace5e0d772afc2	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
56b84bd8a9859de0	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
56fc245822b78222	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
573e6480a1875b2e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
5747b95f57e95e24	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5769b9743e80bc1c	xlsx	open	xlsx: not a valid Excel file
581898ac7621874b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5864d9dbabd44798	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
5966da501affca85	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
5a488fb6d6b3352b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5aabdfbd48a46cbc	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5b6d37c706110030	pptx	open	pptx: not a valid PowerPoint file
5bf3283ea7cc07d0	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5c0a696bc9e15e97	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5c41e8a9a915ffdc	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5c9962e10f0645db	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5caa003eb91094d3	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5cc99a9166fc7c76	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5d21c68f757e1d9c	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
5def4ac82ddf8955	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5e1ac0d4517d3688	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
5e4c12e068fc0500	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5eb17bb32c514ee2	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5f8c1580b716b0e6	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
5fae47babd3697c5	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5feb32df4665007f	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
5ffe462fa45154fd	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
600eaef5e1bc8d6c	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
60334739921bbfe5	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
6086ecc20d693c5e	docx	fidelity	re-reading original parts: zip: checksum error
6094178afe08a44c	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
60cfad4fb80363dd	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
61675c845272ca57	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
61a7842d8fc5b6c8	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
61ae0def5eca1ded	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
61f1c2e49003f2fd	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
62075c0dc18e211c	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
62cba63b01476bb3	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
62e7049231a610db	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
635eccff2abf541e	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
6406b24e19d7272a	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
6409edc9b080ea88	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
645b7e862b334ef9	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
64f37ab384739735	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
65ab59963c8265a6	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
6782d15bf81039a5	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
67d041cad9e3e429	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
67f290a20c93f11a	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
6817aca13007446a	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
685b112a933093d0	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
689ef5bc3f977bb1	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
694981e346c403b4	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
69560784dff420f1	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
69867b8e778db677	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
6a32421f3871a1b1	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
6a61f87e2a2bdfdb	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
6b0c9ee8bb781151	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
6b2b8bc9a3528c99	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
6b6d09c1cc7e23a6	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
